Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Bedrooms to be determined,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2020-011,(3) Design with Entitlements Approved,160 Freelon (Land Dedication Site),160,Freelon,St,94107,3777,52,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,02/28/2024,,,02/28/2024,12/30/2025,Related California,San Francisco Housing Development Corporation,,2022-008873PRJ,2022-008873PRJ (http://propertymap.sfplanning.org/?search=2022-008873PRJ),,02/09/2023,,202209283327,85,84,1,99,0,15,24,23,23,0,0,,13,1,2bd,0,0,0,22,0,22,0,0,23,3,7,0,11,40,0,0,0,0,0,0,0,0,37.7781638,-122.3980662,"(37.7781638, -122.3980662)"
2018-020,(5) First Construction Document Issued,30 Otis St,30,Otis,St,94103,3505,"010, 012, 013, 016, 018",6,Mission,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,01/22/2019,08/09/2019,07/23/2019,,Align Real Estate,,,2015-010013PRJ,2015-010013PRJ (http://propertymap.sfplanning.org/?search=2015-010013PRJ),"2015-010013DNX,2015-010013ENV,2015-010013GPR,2015-010013IKA,2015-010013PPA,2015-010013SHD,2015-010013TDM,2015-010013VAR,2016-003379PRV",09/27/2018,Fee Payment,201611283577,416,0,416,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7728644,-122.4192159,"(37.7728644, -122.4192159)"
2016-007,(5) First Construction Document Issued,2177 3rd Street,2177,3rd,St,94107,4045,3,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,06/08/2017,12/27/2017,12/27/2017,,"M. Gaehwiler Construction, Inc.",,,2013.0784,2013.0784 (http://propertymap.sfplanning.org/?search=2013.0784),"2013.0784CND,2013.0784E,2013.0784K,2013.0784U,2013.0784X",07/20/2017,On-site BMR Project; Fee Payment,201306210213,114,8,106,7,0,1,4,3,0,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,37.7622991,-122.3884155,"(37.7622991, -122.3884155)"
2016-054,(4) Site Work Permit Issued,469 Eddy,469,Eddy,St,94102,337,014A,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,11/30/2018,,05/31/2019,,"469 Eddy Street, LLC",,,2014.0562,2014.0562 (http://propertymap.sfplanning.org/?search=2014.0562),,06/16/2016,On-site BMR Project,201512094600,29,4,25,14,0,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,37.7832488,-122.4153062,"(37.7832488, -122.4153062)"
2011-035,(3) Design with Entitlements Approved,Parkmerced - Phase 2,3711,19th,Ave,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,02/08/2013,,Maximus,,,2008.0021,2008.0021 (http://propertymap.sfplanning.org/?search=2008.0021),"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,,711,36,675,5,0,0,0,0,0,0,0,36,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37.7205747,-122.4758473,"(37.7205747, -122.4758473)"
2018-033,(3) Design with Entitlements Approved,1245 Folsom,1245,Folsom,St,94103,3756,41,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,10/02/2020,,"Newbs 0168, LLC",,,2015-014148PRJ,2015-014148PRJ (http://propertymap.sfplanning.org/?search=2015-014148PRJ),,10/04/2018,On-site BMR Project,,37,7,30,19,0,3,1,3,0,0,0,,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,37.7741616,-122.4104715,"(37.7741616, -122.4104715)"
2016-115,(3) Design with Entitlements Approved,5 Thomas Mello Circle,5,Thomas Mello,Cir,94134,4991,75,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,11/16/2018,,Ocean Landing LLC,,,2015-009690PRJ,2015-009690PRJ (http://propertymap.sfplanning.org/?search=2015-009690PRJ),"2015-009690CND,2015-009690CUA,2015-009690DNX,2015-009690ENV,2015-009690PRV",11/17/2016,On-site BMR Project,,585,72,513,12,0,0,43,20,9,0,0,,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,37.7100985,-122.3938076,"(37.7100985, -122.3938076)"
2023-006,(2) Predevelopment Feasibility,3300 Mission,3300,Mission,St,94110,6635,1,9,Bernal Heights,Bernal Heights,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Bernal Heights Neighborhood Center,Tabernacle Community Development Corporation,,,  (http://propertymap.sfplanning.org/?search=),,,,,36,35,1,97,35,0,0,0,0,0,0,,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.74387,-122.42131,"(37.74387, -122.42131)"
2016-012,(5) First Construction Document Issued,988 Harrison,988,Harrison,St,94107,3753,148,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,11/30/2018,10/03/2022,05/31/2019,,988 Harrison LLC,,,2014.0832,2014.0832 (http://propertymap.sfplanning.org/?search=2014.0832),"2014.0832CUA,2014.0832E,2014.0832ENX,2014.0832PPA,2014.0832SHD,2014.0832U",02/25/2016,On-site BMR Project,201712146448,90,12,78,13,0,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37.7775621,-122.4040126,"(37.7775621, -122.4040126)"
2016-065,(5) First Construction Document Issued,"HPSY I, Block 52 & 54",151,Friedell,St,94124,4591C,"043, 044, 047, 048",10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Rental,,05/24/2023,,,05/24/2023,05/01/2025,Jonathan Rose Companies,,,Not Applicable,,,,,201910083908,112,110,2,98,0,0,49,31,23,8,1,,18,2,2bd,110,0,0,0,0,0,0,0,4,9,97,0,0,0,0,0,0,0,0,0,0,0,37.7284177,-122.3696489,"(37.7284177, -122.3696489)"
2020-017,(1) Preliminary Phase,1979 Mission,1979,Mission,St,94110,3553,52,9,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7656304,-122.4195169,"(37.7656304, -122.4195169)"
2019-021,(3) Design with Entitlements Approved,655 4th St,655,4th,St,94107,3787,"026, 028",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,06/18/2021,,,,,2014-000203PRJ,2014-000203PRJ (http://propertymap.sfplanning.org/?search=2014-000203PRJ),,06/20/2019,Fee Payment,201909262784,960,0,960,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7777198,-122.395445,"(37.7777198, -122.395445)"
2019-027,(3) Design with Entitlements Approved,2300 Harrison,2300,Harrison,St,94110,3593,1,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,12/10/2021,,"Reuben, Junius & Rose, LLP",,,2016-010589PRJ,2016-010589PRJ (http://propertymap.sfplanning.org/?search=2016-010589PRJ),,,,,24,3,21,13,0,0,2,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37.76039,-122.4131897,"(37.76039, -122.4131897)"
2011-004,(4) Site Work Permit Issued,Parkmerced - Phase IA & 1B,3711,19th,Ave,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,10/29/2018,,04/29/2019,,Maximus,,,2008.0021,2008.0021 (http://propertymap.sfplanning.org/?search=2008.0021),"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,"201510230639, 201510230640, 201510260810, 201511092111, 201511132572",957,48,909,5,0,10,21,11,6,0,0,,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,37.7205747,-122.4758473,"(37.7205747, -122.4758473)"
2017-047,(2) Predevelopment Feasibility,772 Pacific Ave,772,Pacific,Ave,94133,161,15,3,Chinatown,Chinatown,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,02/01/2026,,,02/01/2026,10/01/2027,Chinatown Community Development Center,,,Not Yet Available,,,,,,86,85,1,99,0,66,20,0,0,0,0,,0,1,Studio,0,85,0,20,0,20,0,26,8,0,25,0,26,0,0,0,0,0,0,0,0,0,37.796959,-122.4080569,"(37.796959, -122.4080569)"
2014-025,(3) Design with Entitlements Approved,Schlage Project,,,,94134,"5087, 5099, 5100, 5101, 5102, 5107","003, 003A, 014, 002, 003, 010, 006, 007, 009, 001",10,Visitacion Valley,Visitacion Valley,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,08/31/2016,,,,,2006.1308,2006.1308 (http://propertymap.sfplanning.org/?search=2006.1308),"2006.1308E,2006.1308E_3,2006.1308E_5,2006.1308M,2006.1308R,2006.1308R_3,2006.1308T,2006.1308U,2006.1308U_3,2006.1308U_5,2006.1308U_7,2006.1308W,2006.1308Z",09/02/2014,On-site BMR Project; Fee Payment,,1679,168,1511,10,0,0,0,0,0,0,0,168,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,37.71031638,-122.4035186,"(37.71031638, -122.4035186)"
2018-037,(3) Design with Entitlements Approved,301 Grove,301,Grove,St,94102,809,1,5,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,07/01/2023,,,10/23/2020,,,,,2015-015133PRJ,2015-015133PRJ (http://propertymap.sfplanning.org/?search=2015-015133PRJ),,,,,12,0,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7778302,-122.4217291,"(37.7778302, -122.4217291)"
2006-021d,(4) Site Work Permit Issued,Hunters View Phase III,201,West Point,Rd,94124,4624,32,10,Bayview Hunters Point,Bayview,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,,05/31/2023,,,05/31/2023,12/01/2024,The John Stewart Company,,,2009.1075,2009.1075 (http://propertymap.sfplanning.org/?search=2009.1075),,,,,118,117,1,99,0,0,52,11,16,34,5,,19,1,2bd,117,0,0,0,0,0,54,0,0,16,0,64,37,0,0,0,0,0,0,0,0,0,37.7355043,-122.3798662,"(37.7355043, -122.3798662)"
2016-081,(5) First Construction Document Issued,"Block 48, Phase 1 (Blocks A, B, F, G, J)",898,La Salle,Ave,94124,4591A,77,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,,,,04/01/2020,,,,,Not Applicable,,,03/03/2015,,201603141951,174,25,149,14,0,0,9,15,1,0,0,,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,37.7280824,-122.3737082,"(37.7280824, -122.3737082)"
2019-017,(3) Design with Entitlements Approved,3314 Cesar Chavez,3314,Cesar Chavez,St,94110,6571,12,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,,,,,,,2014-003160PRJ (http://propertymap.sfplanning.org/?search=2014-003160PRJ),,,,,57,11,46,19,0,0,6,5,0,0,0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0,37.748623,-122.416527,"(37.748623, -122.416527)"
2018-018,(4) Site Work Permit Issued,635 Fulton St,635,Fulton,St,94102,795,27,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,12/13/2018,,08/28/2020,,,,,2017-007542PRJ,2017-007542PRJ (http://propertymap.sfplanning.org/?search=2017-007542PRJ),,08/30/2018,,201712186731,17,0,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7780363,-122.427236,"(37.7780363, -122.427236)"
2015-066,(1) Preliminary Phase,967 Mission (Land Dedication Site),967,Mission,St,94103,3725,86,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,The John Stewart Company (delete),,,,,,,,,95,94,1,99,0,30,64,0,0,0,0,,45,1,1bd,0,95,0,24,0,24,0,40,8,0,20,0,26,0,0,0,0,0,0,0,0,0,37.7813102,-122.4077471,"(37.7813102, -122.4077471)"
2022-005,(3) Design with Entitlements Approved,1101-1123 Sutter,1101-1123,Sutter,St,94109,692,1,3,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,03/22/2024,,,,,2019-022850PRJ,2019-022850PRJ (http://propertymap.sfplanning.org/?search=2019-022850PRJ),,,,202105100082,221,35,186,16,0,13,8,14,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,18,0,6,0,0,0,6,0,0,0,0,37.7877391,-122.4186762,"(37.7877391, -122.4186762)"
2021-014,(4) Site Work Permit Issued,1005 Powell,1009,Powell,St,94108,212,8,3,Nob Hill,Nob Hill,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,02/10/2022,,,,,,,2022-001994PRL,2022-001994PRL (http://propertymap.sfplanning.org/?search=2022-001994PRL),,,,202112295154; 202202228422; 202202258773; 202204142240; 202210134313,64,63,1,98,64,0,0,0,0,0,0,,4,1,1,0,63,0,0,0,0,0,17,18,0,0,0,28,0,0,0,0,0,0,0,0,0,37.7940883,-122.4097954,"(37.7940883, -122.4097954)"
2016-125,(2) Predevelopment Feasibility,CPN-Block 11a,,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,,,,02/01/2025,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,422,21,401,5,0,0,0,0,0,0,0,,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,37.71433471,-122.3837133,"(37.71433471, -122.3837133)"
2016-099,(1) Preliminary Phase,"HPSY II-CP, Block 6B",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,,,,,12/31/2025,06/24/2027,,,,Not Applicable,,,,,,105,104,1,99,0,0,0,0,0,0,0,104,0,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,37.71240103,-122.3824582,"(37.71240103, -122.3824582)"
2020-023,(4) Site Work Permit Issued,1120 Valencia,1120,Valencia,,94110,3635,4,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,09/15/2022,,,,,2018-017328PRJ,2018-017328PRJ (http://propertymap.sfplanning.org/?search=2018-017328PRJ),,09/16/2020,On-site BMR Project,,18,2,16,11,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.7548848,-122.4212867,"(37.7548848, -122.4212867)"
2020-041,(3) Design with Entitlements Approved,224 Clara,224-228,Clara,St,94107,3753,701,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,,,,,,,2019-013951PRJ (http://propertymap.sfplanning.org/?search=2019-013951PRJ),,,,,9,1,8,11,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37.77902,-122.40322,"(37.77902, -122.40322)"
2016-132,(1) Preliminary Phase,"HPSY, Block 1 (Rental)",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,HP Shipyard Phase 1,New Construction,Rental,,,,,07/01/2021,,,,,Not Applicable,,,,,,174,18,156,10,0,0,0,0,0,0,0,,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,37.72949706,-122.3702246,"(37.72949706, -122.3702246)"
2015-033f,(5) First Construction Document Issued,Sunnydale Block 3B,,,,94134,,,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,,03/29/2023,05/12/2022,03/30/2023,03/29/2023,01/01/2025,Related California,,Mercy Housing CA,2010.0305,2010.0305 (http://propertymap.sfplanning.org/?search=2010.0305),,,,202106031549,90,89,1,99,0,4,24,36,26,0,0,,23,1,3bd,22,0,0,0,0,0,67,0,0,0,67,0,0,22,0,0,0,0,0,0,0,0,37.7120506,-122.4164666,"(37.7120506, -122.4164666)"
2013-064,(3) Design with Entitlements Approved,2293 Powell,2293,Powell,St,94133,41,154,3,North Beach,North Beach,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,12/07/2017,,Cynthia Wong,,,2013.0341,2013.0341 (http://propertymap.sfplanning.org/?search=2013.0341),"2013.0341CND,2013.0341E,2013.0341U,2013.0341VAR",12/09/2015,On-site BMR Project,201508103804,17,2,15,12,0,0,1,1,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.8056297,-122.412172,"(37.8056297, -122.412172)"
2023-001,(2) Predevelopment Feasibility,3661 19th St,3661,19th,St,94110,3598,75,8,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,06/28/2024,Mission Economic Development Agency,,,,  (http://propertymap.sfplanning.org/?search=),,,,,12,12,0,100,0,0,0,12,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.75975,-122.42492,"(37.75975, -122.42492)"
2018-049,(2) Predevelopment Feasibility,88 Bluxome St (Land Dedication Site),88,Bluxome,St,94107,3786,37,6,Mission Bay,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Jonathan Rose Companies,,,,  (http://propertymap.sfplanning.org/?search=),,,,,107,106,1,99,0,20,41,22,24,0,0,,0,1,2bd,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7759333,-122.3987914,"(37.7759333, -122.3987914)"
2019-034,(3) Design with Entitlements Approved,2050 Van Ness / 1675 Pacific,2050,Van Ness,Ave,94109,595,8,3,Russian Hill,Nob Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,07/23/2021,,,,,2014.1573,2014.1573 (http://propertymap.sfplanning.org/?search=2014.1573),,07/25/2019,On-site BMR Project,201911147297,63,11,52,17,0,0,8,2,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,3,0,0,0,0,37.794632,-122.4229458,"(37.794632, -122.4229458)"
2016-020,(4) Site Work Permit Issued,655 Folsom,655,Folsom,St,94107,3750,50,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,08/12/2019,,03/09/2018,,,,,2013.0253,2013.0253 (http://propertymap.sfplanning.org/?search=2013.0253),"2013.0253ENV,2013.0253ENX,2013.0253PPA,2013.0253U",03/10/2016,Fee Payment,201602099171,89,0,89,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7842821,-122.3978348,"(37.7842821, -122.3978348)"
2017-024,(4) Site Work Permit Issued,980 Folsom,,,,94103,3732,"028, 035, 152",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,08/28/2019,,,,,2013.0977,2013.0977 (http://propertymap.sfplanning.org/?search=2013.0977),,,,,33,4,29,12,0,0,2,2,0,0,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,37.7790667,-122.4053576,"(37.7790667, -122.4053576)"
2019-009,(2) Predevelopment Feasibility,4200 Third Street,4200,3rd,St,94124,,,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Bayview Hunters Point,New Construction,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,85,17,68,20,0,4,7,5,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,37.7397622,-122.3891799,"(37.7397622, -122.3891799)"
2018-014,(3) Design with Entitlements Approved,280 7th St,280,7th,St,94103,3730,290,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,07/24/2020,,"Dragonfly Assets C-54, LLC",,,2016-004946PRJ,2016-004946PRJ (http://propertymap.sfplanning.org/?search=2016-004946PRJ),"2016-004946ENV,2016-004946ENX,2016-004946PPA,2016-004946SHD,2016-004946TDM",07/26/2018,On-site BMR Project,201809200919,20,2,18,10,0,0,1,1,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,37.7768471,-122.4085215,"(37.7768471, -122.4085215)"
2012-012,(3) Design with Entitlements Approved,376 Castro,376,Castro,St,94114,2623,6,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,08/01/2014,,376 castro Street LLC,,,2004.0976,2004.0976 (http://propertymap.sfplanning.org/?search=2004.0976),"2004.0976C,2004.0976E,2004.0976E_3,2004.0976K,2004.0976V",08/02/2012,,,24,3,21,13,0,0,1,2,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.7629565,-122.4354208,"(37.7629565, -122.4354208)"
2000-016,(2) Predevelopment Feasibility,Derek Silva Community,1580,Market,St,94102,836,10,6,Hayes Valley,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,Mercy Housing CA,,,,  (http://propertymap.sfplanning.org/?search=),,,,200208285175,68,68,0,100,0,34,28,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7746225,-122.4206858,"(37.7746225, -122.4206858)"
2016-086,(5) First Construction Document Issued,"Block 48, Phase 4 (Blocks D, E, Q)",989,Oakdale,Ave,94124,4591D,108,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,,08/31/2021,01/19/2022,12/01/2022,,,,,Not Applicable,,,03/03/2015,,201604144801,73,10,63,14,0,0,6,4,0,0,0,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.7282288,-122.3791714,"(37.7282288, -122.3791714)"
2017-031,(5) First Construction Document Issued,2918 Mission,,,,94110,6529,2,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,07/01/2023,,,05/14/2019,,,,,2014.0376,2014.0376 (http://propertymap.sfplanning.org/?search=2014.0376),,,,,75,8,67,11,0,2,4,2,0,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,37.750313,-122.418539,"(37.750313, -122.418539)"
2016-028,(4) Site Work Permit Issued,1601 Mission,1601,Mission,St,94103,3514,43,6,Mission,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,10/03/2019,,Trumark Urban,,,2014.1121,2014.1121 (http://propertymap.sfplanning.org/?search=2014.1121),"2014.1121CND,2014.1121CUA,2014.1121DNX,2014.1121ENV,2014.1121PPA,2014.1121U,2014.1121VAR",04/07/2016,Fee Payment,,220,0,220,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7721023,-122.418809,"(37.7721023, -122.418809)"
2021-018,(3) Design with Entitlements Approved,233 Geary,233,Geary,St,94102,314,"001, 018, 019, 020",3,Financial District/South Beach,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,,,233 Geary Street Property Owner LLC,,,,2020-005897PRJ (http://propertymap.sfplanning.org/?search=2020-005897PRJ),,,,,21,0,21,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7874179,-122.4067359,"(37.7874179, -122.4067359)"
2022-001,(5) First Construction Document Issued,36 Amber Drive,36,Amber,Dr,94131,7504,24,8,Noe Valley,Diamond Heights,MOHCD,BMR-Other,Not in an OCII Project Area,New Construction,Ownership,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,201812198760,8,8,0,100,0,0,0,2,5,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7463077,-122.4442688,"(37.7463077, -122.4442688)"
2020-028,(5) First Construction Document Issued,4200 Geary,4200,Geary,Blvd,94118,1438,017A,1,Inner Richmond,Inner Richmond,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,04/03/2023,08/20/2021,,04/03/2023,02/04/2024,Tenderloin Neighborhood Development Corporation (TNDC),,"4200 Geary Associates, L.P.",2020-006779PRJ,2020-006779PRJ (http://propertymap.sfplanning.org/?search=2020-006779PRJ),,,,202009305561,98,97,1,99,0,41,57,0,0,0,0,,49,1,1bd,0,97,0,20,0,20,0,35,15,0,47,0,0,0,0,0,0,0,0,0,0,0,37.7812315,-122.4645384,"(37.7812315, -122.4645384)"
